State,Year,Numbirths,ln_numbirths,treated,tax_zscore,finance_zscore,migration_zscore,marriage_zscore,female_zscore,population_zscore
Seoul,2015,83005,11.32665613,0,-0.302374345,2.522561834,-1.154613719,2.172263333,2.325553436,2.132005603
Busan,2015,26645,10.19035679,0,-1.143231699,0.641244938,-0.422687431,0.95970911,0.101861043,0.096701966
Daegu,2015,19438,9.874985192,0,-1.401608353,0.37798899,-0.715457946,0.629012503,-0.155753647,-0.19707501
Incheon,2015,25491,10.14608073,0,-1.032175068,1.161335957,0.602009372,1.621102322,0.003370195,-0.054489055
Gwangju,2015,12441,9.428752749,0,-1.505865599,0.204625317,-0.129916916,1.180173514,-0.413908559,-0.490983067
Daejeon,2015,13774,9.530538036,0,-1.607856383,0.532090033,-0.715457946,1.621102322,-0.40699444,-0.474396798
Ulsan,2015,11732,9.37007543,0,-0.692205787,1.450275412,0.455624114,2.282495535,-0.54429548,-0.580638462
Gyeonggi,2015,113495,11.63951406,0,-0.946049516,1.276911739,0.894779887,1.731334524,3.037876906,2.863317866
Gangwon,2015,10929,9.299175086,0,-1.616922231,-1.252913712,0.309238857,0.629012503,-0.497682884,-0.507577937
Chungbuk,2015,13563,9.515100776,0,-1.437871743,-0.829135845,0.455624114,1.180173514,-0.446437912,-0.47811049
Chungnam,2015,18604,9.83113189,0,-1.050306763,-0.681455679,0.894779887,1.51087012,-0.314268379,-0.339821539
Jeonbuk,2015,14087,9.553007665,0,-1.73704471,-1.214388451,0.016468341,0.518780301,-0.402139691,-0.428197664
Jeonnam,2015,15061,9.6198639,0,-1.657718544,-1.490486153,0.162853599,0.408548099,-0.458711954,-0.458439719
Gyeongbuk,2015,22310,10.01279029,0,-1.378943734,-1.073129162,0.162853599,0.849476907,-0.194712491,-0.177940033
Gyeongnam,2015,29537,10.29339899,0,-0.984579368,-0.231994304,0.455624114,1.290405716,0.03603974,0.037939116
Jeju,2015,5600,8.630521877,0,-0.315973116,-0.687876555,2.944173492,1.621102322,-0.723547735,-0.771463501
Seoul,2016,75536,11.23236464,0,-0.134656166,2.548245341,-1.886540007,2.172263333,2.272917422,2.096714876
Busan,2016,24906,10.12286402,0,-0.846325194,0.634824061,-0.422687431,0.849476907,0.084321345,0.087051527
Daegu,2016,18298,9.814547043,0,-0.968714135,0.615561431,-0.569072689,0.629012503,-0.169438068,-0.200841954
Incheon,2016,23609,10.06938327,0,-0.791930109,1.379645767,0.602009372,1.51087012,-0.003494374,-0.04758026
Gwangju,2016,11580,9.357034751,0,-1.351746192,0.365147236,-0.715457946,0.95970911,-0.422367206,-0.492283637
Daejeon,2016,12436,9.428350771,0,-1.369877887,0.5962988,-1.886540007,1.400637918,-0.414026997,-0.475300848
Ulsan,2016,10910,9.297435079,0,-0.325038963,1.366804014,0.162853599,2.062031131,-0.551473063,-0.58198532
Gyeonggi,2016,105643,11.56782076,0,-0.728469177,1.321857876,1.333935659,1.621102322,3.042231315,2.92549497
Gangwon,2016,10058,9.216123617,0,-1.480934518,-1.195125821,0.602009372,0.629012503,-0.501390718,-0.504996459
Chungbuk,2016,12742,9.452658903,0,-1.27695295,-0.784189707,0.309238857,1.180173514,-0.448708779,-0.47238798
Chungnam,2016,17302,9.758577381,0,-0.617412545,-0.482408499,0.894779887,1.621102322,-0.311139441,-0.33153926
Jeonbuk,2016,12698,9.44919978,0,-1.553461298,-1.1180753,-0.129916916,0.408548099,-0.407671228,-0.428493006
Jeonnam,2016,13980,9.545383016,0,-1.492266828,-1.394173001,0.455624114,0.408548099,-0.465081017,-0.458751856
Gyeongbuk,2016,20616,9.933822752,0,-1.038974453,-0.95755338,0.162853599,0.849476907,-0.206449936,-0.178323035
Gyeongnam,2016,27138,10.20869024,0,-0.882588584,-0.283361318,0.455624114,1.180173514,0.021609644,0.038603533
Jeju,2016,5494,8.611411867,0,0.026262627,-0.610826034,3.529714523,1.621102322,-0.720267728,-0.765706991
Seoul,2017,65389,11.08810933,0,0.241576505,2.535403588,-1.886540007,1.51087012,2.227758713,2.062009919
Busan,2017,21480,9.974877549,0,-0.655942397,0.763241597,-0.715457946,0.408548099,0.060613204,0.070692603
Daegu,2017,15946,9.676963293,0,-0.87805566,0.570615293,-0.422687431,0.518780301,-0.185811514,-0.208227556
Incheon,2017,20445,9.925493633,0,-0.506355913,1.251228232,0.455624114,1.069941312,-0.015033617,-0.046766738
Gwangju,2017,10120,9.222268943,0,-1.26562064,0.243150578,-0.569072689,0.629012503,-0.430935831,-0.494561581
Daejeon,2017,10851,9.292012521,0,-1.174962166,0.634824061,-0.861843204,1.069941312,-0.423418645,-0.479433181
Ulsan,2017,9381,9.146441646,0,0.053460169,1.231965602,-0.861843204,1.621102322,-0.562128855,-0.587015559
Gyeonggi,2017,94088,11.45198579,0,-0.458760214,1.302595246,1.773091432,1.180173514,3.034084474,2.972334353
Gangwon,2017,8958,9.100302267,0,-1.184028013,-1.085970916,0.309238857,0.408548099,-0.508550173,-0.50808219
Chungbuk,2017,11394,9.34084218,0,-0.970980597,-0.707139186,0.602009372,0.849476907,-0.454990826,-0.472333499
Chungnam,2017,15670,9.659503335,0,-0.440628519,-0.431041484,1.187550402,1.290405716,-0.311558808,-0.324196668
Jeonbuk,2017,11348,9.336796796,0,-1.451470514,-1.201546698,-0.129916916,-0.142612911,-0.417588596,-0.432443873
Jeonnam,2017,12354,9.421735176,0,-1.270153564,-1.349226864,-0.129916916,-0.032380709,-0.474200742,-0.462754746
Gyeongbuk,2017,17957,9.79573529,0,-0.837259347,-0.951132503,0.016468341,0.518780301,-0.223016751,-0.185307611
Gyeongnam,2017,23849,10.07949757,0,-0.608346697,-0.148522906,0.309238857,0.849476907,0.004537655,0.034422864
Jeju,2017,5037,8.524565946,0,0.64727318,-0.469566745,3.529714523,1.51087012,-0.716412451,-0.759862411
Seoul,2018,58074,10.96947334,0,0.640473794,2.45193219,-1.300998976,1.069941312,2.174257377,2.033906535
Busan,2018,19152,9.860162428,0,-0.515421761,0.724716336,-1.008228461,-0.032380709,0.035321861,0.05651495
Daegu,2018,14400,9.574983486,0,-0.764732567,0.422935127,-0.569072689,0.077851493,-0.20294393,-0.214407622
Incheon,2018,20087,9.907828119,0,-0.077994619,1.238386478,0.016468341,0.739244705,-0.029478216,-0.046004829
Gwangju,2018,9105,9.116578992,0,-1.002711063,0.17894181,-0.715457946,0.408548099,-0.441691933,-0.49715494
Daejeon,2018,9337,9.14174028,0,-0.968714135,0.390830743,-1.447384234,0.629012503,-0.437412455,-0.484971358
Ulsan,2018,8149,9.005650499,0,0.180382034,1.212702971,-1.300998976,0.95970911,-0.573029984,-0.590993461
Gyeonggi,2018,88175,11.38707876,0,-0.071195234,1.341120507,1.480320917,0.739244705,3.033929779,3.044594463
Gangwon,2018,8351,9.030136571,0,-0.989112292,-1.124496176,0.309238857,0.188083695,-0.517187685,-0.50980263
Chungbuk,2018,10586,9.267287652,0,-0.74433441,-0.732822693,0.309238857,0.518780301,-0.463360041,-0.470150998
Chungnam,2018,14380,9.573593631,0,-0.13918909,-0.418199731,1.480320917,0.739244705,-0.316527161,-0.318685117
Jeonbuk,2018,10001,9.210440367,0,-1.281485874,-1.252913712,-0.422687431,-0.363077316,-0.427988176,-0.435161759
Jeonnam,2018,11238,9.327056172,0,-1.104701848,-1.362068617,-0.129916916,-0.252845114,-0.482532491,-0.462576557
Gyeongbuk,2018,16079,9.685269352,0,-0.678607015,-0.951132503,-0.129916916,0.077851493,-0.239802313,-0.189982292
Gyeongnam,2018,21224,9.962887896,0,-0.483691294,-0.212731674,0.309238857,0.298315897,-0.013437121,0.032945744
Jeju,2018,4781,8.472405009,0,1.202556339,-0.418199731,3.383329265,1.290405716,-0.713441833,-0.754388545
Seoul,2019,53673,10.89066536,0,0.873919367,2.278568517,-1.447384234,0.95970911,2.137125862,2.008856112
Busan,2019,17049,9.74384683,0,-0.377167586,0.57703617,-1.008228461,-0.252845114,0.010477682,0.039747625
Daegu,2019,13233,9.490468989,0,-0.621945469,0.313780222,-0.715457946,-0.032380709,-0.220884867,-0.222909052
Incheon,2019,18522,9.826714494,0,-0.053063539,1.071443682,0.162853599,0.629012503,-0.04271789,-0.045019263
